country,n_obs,min_year,max_year,mean_emissions,trend,adf_pvalue,is_stationary,ols_r2,durbin_watson,has_autocorrelation
Albania,33,1990,2022,1.327969696969697,decreasing,0.7547889337365783,False,0.9250285198316296,1.2454770216023432,True
Algeria,33,1990,2022,3.3777272727272734,increasing,0.3658692879053339,False,0.8016168080313771,1.1473116981516864,True
Angola,33,1990,2022,0.8342424242424241,increasing,0.36281455095348303,False,0.15261898681137476,0.4279630977696358,True
Argentina,33,1990,2022,3.997969696969697,increasing,0.33471972761602026,False,0.8716639253664158,1.0470986155656354,True
Armenia,33,1990,2022,1.5873030303030302,increasing,0.6738904252756597,False,0.9439685902577037,2.3133869111047645,False
Australia,33,1990,2022,17.33472727272727,decreasing,0.7726352997376962,False,0.8804537176591256,0.8755108048348339,True
Austria,33,1990,2022,8.206666666666665,decreasing,0.6827186125283099,False,0.9183412179007923,0.6402430125421562,True
Azerbaijan,33,1990,2022,4.09630303030303,decreasing,0.03978151670534391,True,0.898794063757715,1.3438992421793323,True
Bahrain,33,1990,2022,24.833636363636366,increasing,0.007039794104483179,True,0.6223200921251673,2.729818063422219,True
Bangladesh,33,1990,2022,0.31860606060606056,increasing,0.9987826763277091,False,0.9967366039467842,1.4203604637369052,True
Barbados,33,1990,2022,4.907242424242424,increasing,0.39401368858958136,False,0.7579026139463243,1.1585782004657261,True
Belarus,33,1990,2022,6.618757575757576,decreasing,0.005698017131087348,True,0.9565744253996437,1.0380271028379129,True
Belgium,33,1990,2022,10.78930303030303,decreasing,0.9513784034582979,False,0.9815187537044626,1.3666310296917599,True
Belize,33,1990,2022,1.6927272727272726,increasing,0.9862319170735189,False,0.14219360994614183,1.6230544752220657,False
Benin,33,1990,2022,0.3212727272727272,increasing,0.6043278063372762,False,0.9029192151568108,0.8629332198143124,True
Bhutan,33,1990,2022,1.095,increasing,0.8914260998541071,False,0.9256942645643645,0.6156067386109833,True
Bolivia,33,1990,2022,1.4793030303030303,increasing,0.7947127249202232,False,0.8828866021564925,0.9071332467588856,True
Bosnia and Herzegovina,33,1990,2022,4.356878787878788,increasing,0.8605631659286601,False,0.9596316232715655,1.1971193159506692,True
Botswana,33,1990,2022,2.354909090909091,increasing,0.483004453741034,False,0.7447224816031819,0.880795852272977,True
Brazil,33,1990,2022,2.065606060606061,increasing,0.9562014130921757,False,0.9471120647066581,0.4007663568815311,True
Bulgaria,33,1990,2022,6.555999999999999,decreasing,3.2561497109557276e-05,True,0.6754697660567144,0.7675760135017499,True
Burkina Faso,33,1990,2022,0.13175757575757577,increasing,0.9985762361849431,False,0.9443991753484786,0.5618147091890141,True
Cambodia,33,1990,2022,0.3979696969696969,increasing,0.9960445244138528,False,0.9919017326512091,1.092710245949117,True
Cameroon,33,1990,2022,0.36418181818181816,increasing,0.06909898631799684,False,0.5031965974998049,0.8351686818430132,True
Canada,33,1990,2022,16.459121212121214,decreasing,0.9792337073050027,False,0.7893146297023637,0.40228438447181664,True
