ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly
2005-01-01,10.578,10.365806,10.683531,10.808567,10.83089,10.725383,0.67712075,0.40026012,0.37826046,0.98954934,0.7891715,0.5259747,0.13058306,-0.078564025,0.19301194,0.10370486,0.7181348,-0.06147789,-0.88468796,-0.109899685,0.21248879,-1.0850514,-0.2041469,0.5397063,-0.37870127,-0.2672884,-0.64551467,0.24317043,0.6787102,-0.038212117,-0.28783605,6.334667,3.8404744
2006-01-01,10.85,10.414274,10.544657,10.6102295,10.4586,10.660258,0.48070088,0.32087108,0.21571898,1.0583068,1.0845398,0.2656064,0.053815976,-0.06628606,0.4503964,0.26194364,0.3626433,-0.025336305,-0.74642915,-0.25645268,0.5367162,-0.54792863,-0.084133156,0.45536113,-0.8837054,-0.67513216,-0.32597163,0.10021555,0.5726416,-0.08916858,-0.72703266,6.318883,3.86034
2007-01-01,10.408,10.263872,10.380496,10.98796,10.710163,10.142602,0.5927615,0.23213898,0.39847252,1.1532301,0.68301415,0.57304716,-0.0636992,-0.11958202,0.3724742,0.32184485,0.78240484,0.029989278,-1.3465804,-0.21208428,0.65945244,-1.1821588,0.09958408,0.821485,-0.73081726,-0.82952124,-0.70328546,-0.11861997,1.0330625,-0.0737417,-0.8932903,6.321446,3.8796566
2008-01-01,10.561,10.592372,10.554512,10.439124,10.454817,10.565075,0.6676397,0.46800515,0.13690963,0.9104018,0.76158607,0.32373056,-0.16621447,-0.024038829,0.3930334,0.1825782,0.44200262,0.07825298,-0.27069467,-0.22379056,0.3740984,-0.667835,0.25985122,0.16513802,-0.77115566,-0.4705761,-0.39730588,-0.3095228,0.20767011,-0.077811964,-0.5067514,6.3257074,3.8984327
2009-01-01,9.761,10.448292,10.557686,10.414353,10.291108,10.228104,0.24618945,0.29607406,-0.31622267,0.7804518,0.4538381,-0.030450094,0.10587847,-0.17138587,0.38352662,0.17347345,-0.04157476,-0.04984708,-1.9299294,-0.21837746,0.35544297,0.06281655,-0.165525,1.1773586,-0.7525028,-0.44710955,0.037370585,0.19716577,1.480593,-0.075929835,-0.4814809,6.333508,3.8404317
2010-01-01,10.228,11.088245,10.326713,10.064827,10.337828,10.224023,0.1327047,0.07750874,0.7027014,0.69511306,0.5055343,-0.82001054,0.06287512,0.25709715,0.32058218,0.2077526,-1.1195941,-0.029601304,2.8951004,-0.18253733,0.4256801,1.6916283,-0.09829575,-1.766164,-0.6290019,-0.5354605,1.0063771,0.11708538,-2.221048,-0.06346822,-0.57662374,6.336667,3.8604732
2011-01-01,9.95,10.399148,10.122555,9.990796,9.837891,10.424452,-0.42029154,-0.18635468,-0.049284693,0.6601779,0.8437691,-0.6573021,0.11761132,0.052786198,0.5977739,0.27380806,-0.89744157,-0.055370845,0.59441096,-0.34036842,0.5610262,1.3559713,-0.18386753,-0.362622,-1.1728691,-0.70571154,0.80668926,0.21901454,-0.45601708,-0.11834608,-0.7599628,6.3317327,3.8797896
2012-01-01,10.061,9.671192,10.029518,9.895362,10.068423,9.549953,-0.022752784,-0.28348535,1.0903023,0.7009292,0.08410802,0.5744686,0.10597435,0.43727085,0.49597633,0.32961068,0.7843456,-0.049892213,4.9239874,-0.28240559,0.67536443,-1.1850913,-0.16567488,-3.0038917,-0.973136,-0.8495369,-0.70502996,0.1973443,-3.7775586,-0.09819241,-0.91484463,6.3267984,3.898453
2013-01-01,10.263,9.439899,9.652582,9.691357,9.621587,10.563849,-0.315827,-0.011262558,-0.52640855,0.18200196,0.51331705,0.43963102,-0.6019979,-0.017069437,0.41790664,0.048522886,0.6002463,0.2834177,-0.19221424,-0.23795322,0.09942223,-0.90692997,0.9411327,0.11726082,-0.81995845,-0.12506264,-0.5395474,-1.1210341,0.14746192,-0.08273632,-0.13467677,6.321851,3.8404756
2014-01-01,9.74,9.947255,9.823316,9.840958,10.354421,9.296278,-0.084520854,-0.23468414,0.32139507,0.08611327,-0.67318803,0.15734959,-0.14407825,0.2025154,-0.052620772,0.09020928,0.21483585,0.06783135,2.2804704,0.02996191,0.18483667,-0.32460192,0.22524458,-1.3912072,0.103245184,-0.23250493,-0.19311094,-0.26830098,-1.7495193,0.010417756,-0.25037867,6.316917,3.8603864
2015-01-01,9.757,10.44695,10.643055,10.18523,9.324932,10.6203,-0.055537526,0.08175338,-0.11258564,-0.37867045,0.284108,-0.33609462,0.44642127,-0.032689627,0.28219748,-0.06273929,-0.4588838,-0.210173,-0.36810896,-0.16068134,-0.1285513,0.6933412,-0.6979122,0.22456588,-0.55368876,0.16170391,0.41247994,0.83132094,0.2824039,-0.05586889,0.17413484,6.311983,3.8796616
2016-01-01,9.642,10.94317,10.636381,9.591947,10.046749,9.086092,-0.5966138,-0.17961784,-0.42434198,-0.13893515,-0.45779774,-1.4425867,0.7371771,0.058282916,0.011505984,0.2871996,-1.9696229,-0.34705946,0.65630794,-0.0065514296,0.5884651,2.975962,-1.1524651,-0.40038243,-0.022575445,-0.74022675,1.7704481,1.3727635,-0.5035029,-0.0022779317,-0.7971313,6.307049,3.8985336
2017-01-01,9.441,10.955618,10.457327,9.760999,9.044538,9.677503,-0.5790645,-0.51270413,0.7221889,-0.24096254,-0.11118283,-1.5051837,0.99927276,0.33984864,0.49558932,0.1536073,-2.055089,-0.4704528,3.8269424,-0.28218523,0.31473768,3.1050954,-1.5622119,-2.3346367,-0.97237664,-0.39590663,1.8472717,1.8608351,-2.9359336,-0.09811579,-0.4263418,6.302101,3.8404872
2018-01-01,,10.472889,10.807138,9.518101,8.664279,9.543923,-0.75553906,-0.40768808,0.050734747,-0.21082696,0.15668923,-1.1578594,1.2768193,0.21250848,0.74154747,0.3343513,-1.580873,-0.6011205,2.3929996,-0.42223212,0.6850778,2.3885882,-1.9961143,-1.459856,-1.4549617,-0.8617553,1.4210099,2.3776796,-1.8358489,-0.14681008,-0.9280023,6.297167,3.8603952
2019-01-01,,,10.565429,9.427638,9.209874,8.792508,,-0.55582005,0.11696415,-0.2422974,-0.6813071,,1.1464751,0.2651724,0.4161734,0.30300155,,-0.539755,2.9860337,-0.23696631,0.620843,,-1.7923406,-1.8216377,-0.81655777,-0.78095466,,2.1349537,-2.2908096,-0.08239318,-0.8409901,6.292233,3.8796828
2020-01-01,,,,9.825938,9.251563,9.725719,,,0.13987775,-0.689266,-0.39788026,,,0.1538335,0.14158417,0.026949296,,,1.7322769,-0.08061707,0.055218462,,,-1.0567802,-0.27779683,-0.06945898,,,-1.3289591,-0.028030552,-0.07479861,6.2872987,3.8983903
2021-01-01,,,,,9.062911,9.19687,,,,-0.7842172,-0.6849446,,,,0.15942273,0.10461371,,,,-0.09077422,0.21435098,,,,-0.3127972,-0.26963085,,,,-0.031562194,-0.29035857,6.282351,3.8404877
2022-01-01,,,,,,9.195571,,,,,-0.82130027,,,,,0.052475896,,,,,0.10752186,,,,,-0.1352511,,,,,-0.14564846,6.277417,3.8603554
