ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly
2005-01-01,4.49,4.3018527,4.3569045,4.495879,4.279502,4.3939853,0.027117407,-0.13047601,-0.20997262,0.16590002,0.13683288,-0.015264318,0.20263581,0.8203533,0.048495047,0.0073732785,0.027010724,0.4080441,0.5904045,0.09977506,0.010243246,0.0113352975,-0.8481078,1.4638424,-0.32039177,0.029389963,0.008987878,0.48214272,-2.4114137,0.04305773,-0.032519646,10.577613,-6.3349476
2006-01-01,4.921,4.771921,4.843392,4.8353353,4.5666676,4.9523325,-0.036547445,-0.21817419,-0.30465657,0.07955613,0.24640137,-0.15542886,0.47997525,1.1655163,-0.0019506436,0.11401354,0.27503657,0.96651757,0.8388167,-0.0040133083,0.15839207,0.115421616,-2.0088785,2.0797527,0.012887298,0.45445913,0.091519035,1.142032,-3.426014,-0.0017319352,-0.5028537,10.799125,-6.317205
2007-01-01,5.261,5.182109,5.6639633,5.4602456,4.9508924,5.2605796,-0.26171282,0.23151253,-0.13804963,-0.10128281,0.07558376,-0.3567068,0.6111432,1.600899,-0.1344326,0.24969633,0.6312046,1.2306482,1.1521596,-0.27658537,0.3468879,0.26489082,-2.557866,2.8566515,0.8881546,0.99529207,0.21003474,1.4541272,-4.7058134,-0.11935986,-1.101279,10.991577,-6.2971787
2008-01-01,5.617,5.513583,5.848529,5.650891,5.620706,5.5251184,-0.42016,0.1530869,-0.1357961,-0.08055915,-0.24418758,-0.48566112,0.6475745,1.5466979,-0.29603854,0.43562874,0.8593936,1.3040092,1.1131513,-0.60907793,0.6051925,0.36065242,-2.710345,2.759935,1.9558349,1.7364206,0.2859651,1.5408103,-4.5464907,-0.26284635,-1.921329,11.187975,-6.274582
2009-01-01,5.871,5.971965,6.219718,6.001504,6.2448673,6.220771,-0.5400862,0.43327978,-0.18138896,-0.13753375,-0.17066239,-0.6919825,0.6029923,1.9919,-0.49755007,0.6785525,1.2244862,1.214235,1.4335611,-1.0236734,0.9426716,0.51386684,-2.5237515,3.5543554,3.2871594,2.7047172,0.4074505,1.4347334,-5.8551536,-0.44176418,-2.9927375,11.393104,-6.334874
2010-01-01,6.37,6.573826,6.3275766,6.5587378,6.5033646,6.6623497,-0.6537367,0.6448259,0.11886691,-0.44510728,-0.25570595,-0.9512558,0.37571004,2.1445465,-0.6460739,0.8596577,1.683279,0.75656056,1.5434202,-1.3292505,1.1942701,0.7064035,-1.5724891,3.8267388,4.26841,3.4266043,0.56011486,0.89394796,-6.3038554,-0.5736354,-3.7914975,11.545687,-6.316666
2011-01-01,6.999,7.1198606,6.407591,6.710491,6.851677,6.610303,-0.81736827,0.7722345,0.27794877,-0.39678589,-0.774973,-1.2502254,0.2689422,1.9871404,-0.7281536,1.0559524,2.2123158,0.54156417,1.4301358,-1.4981233,1.4669703,0.92841864,-1.1256253,3.5458627,4.810685,4.209037,0.736153,0.63990927,-5.841163,-0.64651215,-4.6572504,11.607202,-6.296635
2012-01-01,7.132,7.1924314,6.9824257,6.6867943,6.9334583,7.158512,-1.1642437,1.0937455,0.3935536,-0.41184512,-0.6163566,-1.4100647,0.40945444,1.5923005,-0.7331166,1.2116753,2.4951568,0.8245111,1.1459714,-1.5083346,1.6833066,1.0471153,-1.7137223,2.8413086,4.8434753,4.8297496,0.8302689,0.9742379,-4.6805387,-0.65091884,-5.344062,11.6687155,-6.2745166
2013-01-01,7.21,7.109705,7.3178415,6.6608543,7.126814,7.3275595,-1.4949124,1.446671,0.4058251,-0.45559642,-0.5981347,-1.527401,0.3937762,1.5221015,-0.8216733,1.2877156,2.7027874,0.79294014,1.0954494,-1.6905333,1.7889446,1.1342494,-1.648103,2.7160451,5.4285407,5.132847,0.8993585,0.9369338,-4.4741898,-0.72954625,-5.679435,11.730398,-6.3347754
2014-01-01,7.188,7.6400547,7.3044996,6.9829407,7.2799387,7.1552944,-1.5721409,1.4915957,0.36620983,-0.6298821,-0.6394137,-1.7788277,0.27982825,2.0221872,-0.9148826,1.1806649,3.1476953,0.56348515,1.4553589,-1.8823048,1.6402258,1.3209591,-1.1711874,3.6084003,6.0443463,4.706142,1.0474026,0.665811,-5.9441824,-0.8123049,-5.2072906,11.791912,-6.3169456
2015-01-01,7.061,8.213305,7.796014,7.900528,6.961298,6.9281654,-1.5865757,2.0150073,0.8401554,-1.0619286,-0.9175673,-2.0197854,0.18597503,2.6636767,-0.92689145,1.1651816,3.5740776,0.3744946,1.9170358,-1.9070123,1.6187158,1.4998945,-0.7783761,4.7530775,6.123685,4.6444254,1.1892823,0.4425008,-7.829829,-0.8229673,-5.1390023,11.853426,-6.2970138
2016-01-01,6.943,8.762399,7.62772,8.547948,7.169962,6.783841,-1.4733799,1.9398671,1.3314503,-1.0978538,-1.6324754,-2.1870992,0.0389695,2.790748,-0.9870898,1.4126428,3.8701453,0.0784722,2.0084884,-2.030866,1.9624985,1.6241419,-0.16310216,4.979824,6.5213966,5.6308084,1.2877994,0.09272233,-8.203353,-0.8764161,-6.230424,11.91494,-6.2741494
2017-01-01,7.08,9.0642605,7.2927065,8.497389,7.7060604,7.423455,-1.2944111,1.8987384,1.4515868,-0.79797775,-1.574195,-2.245172,-0.20511341,2.4868603,-1.0755167,1.7080708,3.972907,-0.41303322,1.7897819,-2.2127979,2.3729184,1.6672668,0.8584775,4.437565,7.105606,6.808387,1.3219936,-0.48803782,-7.3100805,-0.95492846,-7.5334,11.976623,-6.334947
2018-01-01,,9.788439,6.9214554,8.370744,7.8529406,8.473428,-1.2134037,1.7594215,1.5849524,-0.7272885,-0.9497677,-2.5135355,-0.46287403,1.8858104,-1.0743285,1.8842701,4.447786,-0.93208116,1.3572091,-2.2103536,2.6177015,1.866554,1.9373035,3.365049,7.0977564,7.51072,1.4800106,-1.1013421,-5.543305,-0.95387363,-8.310523,12.0381365,-6.3171086
2019-01-01,,,6.869419,8.110921,8.074057,8.597719,,1.7854412,1.512345,-0.49221632,-0.80514884,,-0.59513557,1.409585,-1.0383974,1.8323569,,-1.1984138,1.0144718,-2.1364279,2.545582,,2.4908683,2.51527,6.8603706,7.303794,,-1.4160395,-4.14345,-0.92197114,-8.081562,12.09965,-6.2969522
2020-01-01,,,,7.1839485,8.171486,8.675861,,,1.1838226,-0.33806401,-0.3858929,,,0.20139246,-0.98562753,1.6161325,,,0.14494123,-2.0278575,2.2451944,,,0.35936564,6.511736,6.4419208,,,-0.5919895,-0.8751178,-7.1279097,12.161164,-6.274748
2021-01-01,,,,,8.012301,8.399522,,,,-0.48861396,-0.15240796,,,,-0.98176444,1.3558121,,,,-2.0199096,1.8835471,,,,6.486214,5.4042807,,,,-0.8716879,-5.9797726,12.222846,-6.334783
2022-01-01,,,,,,7.6637373,,,,,-0.48074785,,,,,1.1080992,,,,,1.5394146,,,,,4.416895,,,,,-4.887242,12.284361,-6.317043
