ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly
2005-01-01,20.719,20.326017,20.398365,20.246605,20.62287,20.114197,-0.57081574,-0.52148944,-0.31179705,-0.6164616,-0.23475724,1.8148683,0.6272077,-6.3669424,-0.063927144,0.04816119,-2.671197,-0.7707203,6.0996003,0.20552303,-0.5286277,0.31849533,-0.031057818,-1.1292349,-0.017447548,-0.071509436,0.32007092,-0.020171793,0.84038466,0.0005871441,-0.21366425,18.440914,2.673682
2006-01-01,20.237,20.407528,20.008705,19.877813,20.07576,19.442783,-0.2928324,-0.6040093,-0.37454274,-0.2676357,-0.31863475,1.9928435,1.0524073,-7.8657336,0.30549243,0.07410363,-2.9331477,-1.2932105,7.535458,-0.98214513,-0.8133775,0.34972858,-0.05211268,-1.395059,0.08337764,-0.11002862,0.3514587,-0.03384675,1.0382129,-0.0028058204,-0.32875636,18.163046,2.7764304
2007-01-01,20.28,19.831224,19.68498,19.877954,19.91853,20.13646,-0.25633973,-0.5531051,-0.264381,-0.29237399,-0.11999511,4.0798736,1.0918692,-4.9769144,0.18767598,0.020169625,-6.004924,-1.341702,4.767938,-0.6033703,-0.2213862,0.71598625,-0.054066744,-0.88270086,0.051222153,-0.029947735,0.7195282,-0.035115898,0.6569123,-0.0017237256,-0.08948134,17.698063,2.8790376
2008-01-01,19.409,19.760958,19.635653,19.754189,19.360012,19.149052,-0.44180417,-0.09197463,-0.17578071,-0.36053354,-0.1520828,0.25814933,1.6300316,-3.4773333,0.26301152,0.058663618,-0.3799547,-2.0030024,3.331323,-0.8455708,-0.64390457,0.045303207,-0.080715254,-0.61673653,0.07178338,-0.087103374,0.045527324,-0.05242388,0.45897976,-0.002415651,-0.26025763,17.252483,2.981253
2009-01-01,17.811,18.903662,18.135841,18.631756,18.313652,18.328972,-0.26274106,-0.58689153,-0.42684945,-0.53833985,-0.13011862,2.942344,2.5659916,-5.2754555,0.34207267,0.06669988,-4.330661,-3.153121,5.0539436,-1.0997491,-0.73211235,0.51635855,-0.12706174,-0.9356497,0.09336144,-0.099035576,0.518913,-0.08252554,0.6963172,-0.0031417946,-0.29591003,16.845972,2.673477
2010-01-01,18.225,17.06346,18.68048,18.784927,18.40961,17.936918,-1.1851263,0.049168304,0.036794998,-0.15755577,-0.1557975,8.181545,1.9290785,-5.5192413,0.33984286,0.07155591,-12.04193,-2.3704748,5.287493,-1.0925803,-0.7854132,1.4357978,-0.09552334,-0.97888744,0.09275285,-0.106245786,1.4429007,-0.062041607,0.728495,-0.0031213148,-0.31745353,16.45327,2.777003
2011-01-01,17.634,17.472952,18.15038,17.943403,17.85658,17.973509,-1.2571039,-0.22225945,-0.5142432,-0.2544869,-0.16663092,1.9366534,1.8995465,-5.7784524,0.43632558,0.05172475,-2.8504448,-2.3341854,5.5358205,-1.4027681,-0.5677421,0.33986765,-0.09406098,-1.0248609,0.11908575,-0.07680059,0.34154898,-0.06109182,0.7627088,-0.0040074685,-0.22947378,16.082813,2.8796182
2012-01-01,16.812,18.046364,16.544165,17.098677,17.59329,17.628315,-0.53667855,-1.3397586,-0.5562659,-0.029245233,-0.010011498,0.9214934,2.6077642,-11.890015,0.54892784,0.066380754,-1.3562913,-3.2044518,11.390763,-1.7647796,-0.72860956,0.16171494,-0.12913021,-2.1088016,0.14981812,-0.09856174,0.16251495,-0.083869,1.5693852,-0.0050416733,-0.29449427,15.712357,2.9812546
2013-01-01,17.099,16.274683,17.327192,17.235252,17.762125,16.87281,-1.3021752,-0.41397572,0.0014236264,0.6156994,-0.16996503,3.6479042,0.8805228,-8.93736,0.44492197,0.06112847,-5.3691335,-1.0819969,8.562087,-1.4304051,-0.6709594,0.6401789,-0.043601375,-1.5851216,0.12143194,-0.090763174,0.6433459,-0.02831873,1.1796588,-0.0040864227,-0.27119282,15.340885,2.6736782
2014-01-01,17.119,16.799738,16.643803,16.599377,16.404613,17.508404,-1.1203264,-0.61800253,-0.79271144,-0.36407885,0.016109524,-1.4401115,1.5635347,-4.0658684,0.5015221,0.016038625,2.1196146,-1.9212902,3.8951461,-1.6123722,-0.17604344,-0.2527284,-0.077422485,-0.72111857,0.13687974,-0.02381405,-0.25397867,-0.05028526,0.53666157,-0.004606271,-0.0711544,14.970429,2.7768388
2015-01-01,16.461,17.815676,15.305476,16.213501,15.677221,16.658808,-0.09461433,-1.5047009,-0.66197777,-0.5472664,0.011175066,-3.594321,2.1541297,-6.9088926,0.6429468,0.05229653,5.290267,-2.64702,6.618794,-2.0670466,-0.57401806,-0.63077545,-0.10666733,-1.2253547,0.17547859,-0.07764956,-0.63389593,-0.06927954,0.9119176,-0.005905198,-0.23201042,14.599973,2.8790417
2016-01-01,15.935,16.727142,15.974528,16.582827,16.322998,15.578587,-0.48287302,-0.55323905,-0.055391267,0.14175333,-0.3591453,0.010455719,2.2013614,-6.5599284,0.527889,0.080109544,-0.015389151,-2.7050593,6.2844825,-1.6971408,-0.87929976,0.0018348976,-0.109006144,-1.1634626,0.14407603,-0.118946165,0.0018439748,-0.070798576,0.86585724,-0.0048484406,-0.35540122,14.229516,2.9817538
2017-01-01,15.639,15.367958,15.522613,15.63531,14.484951,15.486603,-0.9864729,-0.20617881,-0.55615,-0.77994144,-0.11351065,1.4768631,2.5857306,-3.8941288,0.64920884,0.058595818,-2.173707,-3.1773767,3.7306178,-2.0871785,-0.6431604,0.25917804,-0.12803918,-0.69065905,0.17718767,-0.08700271,0.2604602,-0.08316037,0.5139934,-0.005962712,-0.25995684,13.858044,2.673593
2018-01-01,,15.410683,14.776353,15.527319,13.689046,14.754469,-0.8284557,-0.54547536,-0.5321811,-1.0498413,-0.106550135,0.21002561,3.0355492,-2.3448687,0.78179634,0.088273264,-0.30912417,-3.7301192,2.2464097,-2.5134418,-0.9689065,0.036857862,-0.15031311,-0.4158837,0.2133746,-0.1310676,0.0370402,-0.09762711,0.3095036,-0.0071804724,-0.3916191,13.487587,2.7767513
2019-01-01,,,14.049488,15.455254,14.358912,13.525777,,-0.9134745,-0.37629336,-0.13432768,-0.41264716,,3.3276715,-1.8845483,0.7702561,0.12943901,,-4.0890822,1.8054179,-2.4763405,-1.4207506,,-0.1647783,-0.33424172,0.21022496,-0.19219023,,-0.10702213,0.24874507,-0.007074481,-0.57424843,13.117132,2.8790421
2020-01-01,,,,15.416542,14.219567,13.52365,,,-0.21097258,0.099693246,-0.18320003,,,-1.1474864,0.82404155,0.12712131,,,1.0993046,-2.6492584,-1.3953111,,,-0.20351712,0.22490455,-0.18874896,,,0.15145889,-0.0075684777,-0.56396616,12.7466755,2.9810793
2021-01-01,,,,,12.825056,13.170459,,,,-0.4411859,-0.043283653,,,,0.91366845,0.11544373,,,,-2.937405,-1.2671354,,,,0.24936628,-0.17141014,,,,-0.008391663,-0.51215917,12.375205,2.6737986
2022-01-01,,,,,,12.758814,,,,,-0.11029541,,,,,0.12028262,,,,,-1.3202482,,,,,-0.1785949,,,,,-0.5336267,12.004747,2.776549
