ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly
2005-01-01,8.461,8.466562,8.464229,8.708167,8.41684,8.818521,-0.120338105,-0.33045244,0.053657956,0.3262067,-0.1992083,-0.52694654,-0.26511267,-0.63938004,-1.3032727,-0.1795579,-0.12827456,0.14135744,0.3797422,0.35972497,0.032437626,0.44099197,0.05914681,0.023125324,0.09455093,-0.012394785,-0.24883117,-0.19067042,-0.15893851,-0.11033059,0.12728329,8.47026,0.5797003
2006-01-01,8.836,8.553449,8.655392,8.717651,8.666874,8.629641,-0.14110993,-0.102969,-0.02633897,0.05222949,-0.07890058,-0.4091785,-0.30716172,-0.5014438,-0.59705234,-1.9252164,-0.09960628,0.16377789,0.29781878,0.16479638,0.3477956,0.34243402,0.06852798,0.018136399,0.043315455,-0.13289663,-0.19321951,-0.22091231,-0.124650024,-0.0505444,1.364729,8.424276,0.6298531
2007-01-01,8.83,8.843966,8.661472,8.734918,8.928003,8.646423,0.14000274,-0.12819478,0.017669495,0.4051701,-0.07559785,-0.3750945,-0.25331065,-0.5114595,-0.69386584,-1.7356496,-0.09130922,0.13506463,0.30376732,0.19151852,0.31354985,0.31390977,0.056513775,0.01849865,0.050339166,-0.119810954,-0.1771246,-0.18218236,-0.12713975,-0.05874029,1.2303507,8.35349,0.68009174
2008-01-01,8.67,8.886478,8.855269,8.77573,8.702296,8.690431,0.09178397,-0.09433767,0.0023778544,0.08740095,0.037886705,-0.23442635,-0.053060073,-0.36758363,-0.52412516,-1.9395188,-0.057066385,0.028291505,0.21831621,0.14466725,0.35037938,0.19618714,0.011837738,0.013294896,0.03802467,-0.13388394,-0.11069924,-0.038161084,-0.09137476,-0.04437063,1.3748676,8.2705145,0.73018515
2009-01-01,8.312,8.418609,8.60933,8.541123,8.571136,8.492874,-0.21433614,0.051975872,-0.02864519,0.13899888,0.13404387,-0.12363497,-0.19133294,-0.27780706,-0.42039955,-2.1322908,-0.030096447,0.10201827,0.16499588,0.11603727,0.38520414,0.10346785,0.042686507,0.010047825,0.0304995,-0.14719088,-0.05838207,-0.13760765,-0.069057904,-0.03558958,1.511518,8.162004,0.5795851
2010-01-01,8.768,8.381782,8.506741,8.701056,8.585758,8.538309,-0.32283452,-0.03661754,0.020029057,0.205338,0.077533685,0.027333828,-0.1425246,0.0006956827,-0.40779674,-1.2245861,0.0066538714,0.07599378,-0.00041318167,0.112558685,0.22122484,-0.022875184,0.031797335,-2.5161702e-05,0.02958518,-0.08453252,0.012907397,-0.10250444,0.00017293438,-0.034522668,0.8680729,8.050548,0.630049
2011-01-01,8.726,8.727529,8.681092,8.753658,8.452637,8.476757,0.22252543,-0.103414156,0.02284396,-0.07792989,0.17618085,-0.12368428,0.17739412,0.18936788,-0.11292905,-1.7443177,-0.030108454,-0.09458613,-0.11246986,0.0311703,0.31511572,0.10350911,-0.03957675,-0.006849125,0.008192873,-0.120409295,-0.058405362,0.12758279,0.047073495,-0.0095601855,1.2364951,7.9334035,0.6802888
2012-01-01,8.518,8.721441,8.517861,8.365528,8.490138,8.450812,0.3281822,-0.13613963,0.015661545,-0.03451703,0.113234684,-0.17429584,0.11172167,-0.31779966,-0.029572306,-1.1634432,-0.04242882,-0.05956973,0.18874839,0.008162449,0.21017921,0.14586501,-0.024925178,0.011494291,0.0021454366,-0.08031186,-0.082304806,0.08035081,-0.07899935,-0.0025034896,0.8247306,7.81626,0.7301631
2013-01-01,8.41,8.359286,8.368988,8.3209095,8.588347,8.3033085,-0.06390755,0.15773308,-0.06444331,0.04140666,-0.060487017,0.16469622,-0.06979941,0.17281994,0.3647311,0.47536087,0.040091988,0.03721688,-0.10264165,-0.10067186,-0.08587524,-0.13783127,0.015572296,-0.006250613,-0.02646082,0.032813903,0.077771746,-0.050200105,0.04295997,0.030876882,-0.3369693,7.6987953,0.57967
2014-01-01,8.086,8.178393,8.1630745,8.276346,8.346978,8.470674,0.06552886,0.03550482,0.017874403,0.33437252,-0.10171669,-0.112462685,-0.08736391,0.075634584,-0.27046534,2.0093865,-0.02737678,0.04658223,-0.04492108,0.07465293,-0.3630012,0.09411798,0.019490944,-0.0027355785,0.019621948,0.13870688,-0.05310637,-0.06283258,0.018801413,-0.022896664,-1.4243948,7.5816517,0.6300413
2015-01-01,8.168,7.832954,7.9970226,8.067379,8.067794,8.527537,-0.09593288,-0.04902658,0.01756245,-0.16300558,0.16046806,-0.24544097,-0.102316916,-0.1532018,0.11714395,1.2395036,-0.059747677,0.054555137,0.09099,-0.03233368,-0.22391972,0.20540507,0.022826973,0.0055410573,-0.008498658,0.08556226,-0.11590049,-0.073586866,-0.038083248,0.009917004,-0.8786475,7.464508,0.6800629
2016-01-01,8.449,7.8830914,7.811359,8.521791,8.3167515,8.371975,-0.05215581,0.07967012,-0.027430277,-0.08971943,0.18244424,-0.16214164,-0.35937232,0.7623241,0.4466024,0.62281936,-0.039470125,0.19161646,-0.45276147,-0.12326969,-0.11251402,0.13569337,0.080176204,-0.027572012,-0.03240049,0.042992882,-0.07656543,-0.25846246,0.18950024,0.03780782,-0.44149825,7.3473644,0.7303665
2017-01-01,8.796,7.765272,7.770191,8.117499,8.150429,8.519348,0.4149009,-0.10133396,0.039046783,0.122883976,-0.044599354,-0.5225137,0.064377114,0.43479466,0.2961712,4.2027025,-0.12719546,-0.034325723,-0.25823435,-0.08174818,-0.75922966,0.4372822,-0.014362577,-0.015725808,-0.021486878,0.29011026,-0.24673791,0.04630036,0.108082235,0.025072834,-2.9791715,7.2299,0.5796361
2018-01-01,,8.3593025,7.876487,7.9963384,7.7822967,8.717674,0.94126314,0.03472939,-0.028880943,-0.18920639,0.020130258,-0.36952463,0.10280684,0.4566847,0.31074822,5.3189225,-0.08995334,-0.05481636,-0.27123535,-0.085771695,-0.9608778,0.3092484,-0.022936273,-0.016517537,-0.022544425,0.36716232,-0.17449443,0.07393921,0.113523714,0.026306877,-3.770427,7.1127563,0.6300077
2019-01-01,,,7.91425,8.353379,8.138916,8.603412,,0.15605974,-0.041130554,0.16837451,-0.04883243,,0.085716635,1.1622757,0.40061435,5.440431,,-0.045703907,-0.6903018,-0.11057623,-0.9828288,,-0.019123437,-0.042037603,-0.029064106,0.37555003,,0.06164785,0.2889211,0.03391463,-3.8565612,6.995613,0.68004
2020-01-01,,,,8.371516,7.8387523,8.7105875,,,-0.0768798,0.11228087,-0.02766105,,,1.357816,0.16013429,6.2930956,,,-0.8064375,-0.04419973,-1.1368649,,,-0.049109973,-0.011617558,0.43440896,,,0.33752894,0.013556418,-4.4609895,6.878469,0.73012906
2021-01-01,,,,,7.6225567,8.174841,,,,0.12461225,0.19566171,,,,0.21356033,3.556616,,,,-0.058946203,-0.6425124,,,,-0.015493556,0.24551128,,,,0.018079283,-2.5211802,6.7610044,0.5797401
2022-01-01,,,,,,7.9998803,,,,,0.39227465,,,,,1.859833,,,,,-0.3359839,,,,,0.12838326,,,,,-1.3183807,6.643861,0.62989306
