ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly,is_forecast
1990-01-01,2.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1991-01-01,2.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1992-01-01,2.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1993-01-01,2.434,2.0352602,,,,,-0.8997003,,,,,-0.20375352,,,,,0.05549178,,,,,0.33778283,,,,,-0.42714566,,,,,12.076404,-8.903818,False
1994-01-01,2.559,2.247883,2.278501,,,,-0.7881992,-1.1204414,,,,-0.08214187,0.43657395,,,,0.02237114,-1.6225859,,,,0.1361749,-0.35565898,,,,-0.17220092,1.8087343,,,,12.037275,-8.905396,False
1995-01-01,2.747,2.4118936,2.3039143,2.300813,,,-0.6446355,-1.0151082,-1.043098,,,-0.012065958,0.4060999,0.80754596,,,0.0032861347,-1.5093249,-1.1077646,,,0.020002961,-0.330833,-0.24897814,,,-0.025294885,1.6824796,0.82250696,,,11.976084,-8.905483,False
1996-01-01,2.843,2.676487,2.398171,2.4130096,2.5862813,,-0.44975036,-0.8025234,-0.82710856,-0.5542107,,0.13498756,0.3790654,0.8016302,0.19930397,,-0.036763538,-1.4088476,-1.0996495,-0.06682636,,-0.22378255,-0.3088091,-0.2471542,0.06617733,,0.28298578,1.5704752,0.8164816,-0.026973153,,11.873006,-8.904196,False
1997-01-01,2.83,3.1232977,2.6605673,2.5357294,2.6948366,2.5040996,-0.24645613,-0.58227545,-0.68024564,-0.5088656,-0.61537814,0.4332481,0.61850965,1.0385444,0.39379504,0.35191846,-0.11799407,-2.2987745,-1.4246407,-0.13203895,0.061843604,-0.71823925,-0.50387454,-0.3201983,0.13075657,-0.049844936,0.90825444,2.5624974,1.057785,-0.053294938,-0.10892381,11.768495,-8.904011,False
1998-01-01,2.682,2.9688673,3.1261442,2.6332357,2.8280427,2.6346645,-0.101238556,-0.27226508,-0.3721839,-0.4652294,-0.6683812,0.31802973,1.1429975,0.9047582,0.68964374,0.83336145,-0.08661462,-4.248104,-1.2411171,-0.23123664,0.14644891,-0.5272301,-0.9311534,-0.27895007,0.22899081,-0.11803544,0.66671246,4.735461,0.9215202,-0.093334146,-0.2579373,11.604506,-8.905297,False
1999-01-01,2.817,3.016744,3.2234898,2.6926074,3.1266036,2.749232,-0.035749435,-0.07434919,-0.21152192,-0.38502276,-0.6579678,0.44347855,1.2465487,1.0897963,1.1334172,1.203326,-0.12078031,-4.632966,-1.4949464,-0.3800333,0.21146382,-0.7351993,-1.0155122,-0.33600003,0.37634236,-0.1704364,0.9297014,5.164475,1.1099864,-0.15339302,-0.3724467,11.440516,-8.905224,False
