ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly,is_forecast
1990-01-01,9.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1991-01-01,9.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1992-01-01,9.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1993-01-01,9.53,9.4163065,,,,,-0.020911802,,,,,-0.21627755,,,,,2.6690037,,,,,-0.60392797,,,,,-1.3765153,,,,,6.294529,2.670406,False
1994-01-01,9.388,9.3099165,9.123914,,,,0.22229761,0.32820547,,,,-0.063130036,-0.019789442,,,,0.779065,-0.11041809,,,,-0.17628272,-0.06863738,,,,-0.40179595,0.044790342,,,,6.293922,2.655841,False
1995-01-01,9.448,9.478834,9.091831,8.875711,,,0.0737246,0.421726,0.6702371,,,-0.21456796,-0.034228124,0.091523774,,,2.647906,-0.19098084,-0.060175516,,,-0.5991541,-0.11871627,-0.97575384,,,-1.3656342,0.07747007,0.21331996,,,6.29614,2.6404202,False
1996-01-01,9.831,9.372039,9.10153,8.869951,8.859206,,0.36565346,0.23119403,0.5402528,0.23501912,,-0.0359573,-0.007390147,0.07488396,-0.010855668,,0.44373605,-0.041234404,-0.04923509,-0.3079962,,-0.100406244,-0.025631865,-0.79835343,-0.1372327,,-0.22885297,0.016726455,0.17453656,0.15240583,,6.303723,2.6241434,False
1997-01-01,9.575,9.908103,9.042102,8.864639,8.822972,8.656884,0.998817,0.3474603,0.41861185,0.1614197,0.49035776,0.03257249,-0.03670956,0.066899285,-0.011398416,-0.06917105,-0.40196532,-0.20482637,-0.043985285,-0.323395,0.30152032,0.09095459,-0.12732284,-0.7132271,-0.1440939,-0.9283661,0.2073101,0.083086416,0.15592618,0.16002563,-0.11787066,6.310026,2.6703882,False
1998-01-01,8.845,9.039832,9.179253,8.768116,8.832253,8.602211,-0.0478278,0.5227265,0.36560598,0.1404957,0.4519982,-0.08387588,-0.031854182,0.062843695,-0.007604983,-0.064105794,1.0350821,-0.17773506,-0.041318797,-0.21576802,0.27944058,-0.23421289,-0.11048253,-0.66998965,-0.096138954,-0.8603838,-0.53383446,0.07209701,0.14647359,0.10676853,-0.109239236,6.248735,2.6557665,False
1999-01-01,8.598,8.440313,8.696995,8.755166,8.567371,8.622979,-0.88771653,0.055229124,0.36962426,0.09400475,0.3026542,-0.229081,-0.02389608,0.05536436,-0.012669601,-0.043128528,2.8270063,-0.13333167,-0.036401246,-0.35946095,0.18799956,-0.63967997,-0.08288078,-0.5902509,-0.16016367,-0.5788413,-1.4580036,0.054085083,0.12904105,0.17787214,-0.073493004,6.1874437,2.640345,False
