_id,year,temp_anomaly
691d34103de74aff30dc4ad2,1880,-0.18
691d34103de74aff30dc4ad3,1881,-0.09
691d34103de74aff30dc4ad4,1882,-0.11
691d34103de74aff30dc4ad5,1883,-0.17
691d34103de74aff30dc4ad6,1884,-0.28
691d34103de74aff30dc4ad7,1885,-0.34
691d34103de74aff30dc4ad8,1886,-0.32
691d34103de74aff30dc4ad9,1887,-0.37
691d34103de74aff30dc4ada,1888,-0.18
691d34103de74aff30dc4adb,1889,-0.11
691d34103de74aff30dc4adc,1890,-0.36
691d34103de74aff30dc4add,1891,-0.23
691d34103de74aff30dc4ade,1892,-0.27
691d34103de74aff30dc4adf,1893,-0.31
691d34103de74aff30dc4ae0,1894,-0.31
691d34103de74aff30dc4ae1,1895,-0.23
691d34103de74aff30dc4ae2,1896,-0.12
691d34103de74aff30dc4ae3,1897,-0.12
691d34103de74aff30dc4ae4,1898,-0.28
691d34103de74aff30dc4ae5,1899,-0.18
691d34103de74aff30dc4ae6,1900,-0.09
691d34103de74aff30dc4ae7,1901,-0.16
691d34103de74aff30dc4ae8,1902,-0.29
691d34103de74aff30dc4ae9,1903,-0.38
691d34103de74aff30dc4aea,1904,-0.48
691d34103de74aff30dc4aeb,1905,-0.27
691d34103de74aff30dc4aec,1906,-0.22
691d34103de74aff30dc4aed,1907,-0.39
691d34103de74aff30dc4aee,1908,-0.43
691d34103de74aff30dc4aef,1909,-0.49
691d34103de74aff30dc4af0,1910,-0.44
691d34103de74aff30dc4af1,1911,-0.45
691d34103de74aff30dc4af2,1912,-0.37
691d34103de74aff30dc4af3,1913,-0.35
691d34103de74aff30dc4af4,1914,-0.16
691d34103de74aff30dc4af5,1915,-0.15
691d34103de74aff30dc4af6,1916,-0.37
691d34103de74aff30dc4af7,1917,-0.47
691d34103de74aff30dc4af8,1918,-0.3
691d34103de74aff30dc4af9,1919,-0.28
691d34103de74aff30dc4afa,1920,-0.28
691d34103de74aff30dc4afb,1921,-0.2
691d34103de74aff30dc4afc,1922,-0.29
691d34103de74aff30dc4afd,1923,-0.27
691d34103de74aff30dc4afe,1924,-0.28
691d34103de74aff30dc4aff,1925,-0.23
691d34103de74aff30dc4b00,1926,-0.11
691d34103de74aff30dc4b01,1927,-0.22
691d34103de74aff30dc4b02,1928,-0.21
691d34103de74aff30dc4b03,1929,-0.37
691d34103de74aff30dc4b04,1930,-0.16
691d34103de74aff30dc4b05,1931,-0.09
691d34103de74aff30dc4b06,1932,-0.16
691d34103de74aff30dc4b07,1933,-0.29
691d34103de74aff30dc4b08,1934,-0.13
691d34103de74aff30dc4b09,1935,-0.2
691d34103de74aff30dc4b0a,1936,-0.15
691d34103de74aff30dc4b0b,1937,-0.03
691d34103de74aff30dc4b0c,1938,-0.01
691d34103de74aff30dc4b0d,1939,-0.02
691d34103de74aff30dc4b0e,1940,0.12
691d34103de74aff30dc4b0f,1941,0.18
691d34103de74aff30dc4b10,1942,0.06
691d34103de74aff30dc4b11,1943,0.08
691d34103de74aff30dc4b12,1944,0.2
691d34103de74aff30dc4b13,1945,0.09
