ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly,is_forecast
2005-01-01,8.461,8.322568,8.543371,8.694763,8.338541,8.46245,-1.093744,-0.5511106,-0.7228507,-0.4370008,-0.3449363,453.72458,-0.106574364,-0.69954467,-0.109784774,0.5586543,-90.9776,15.884384,0.3437447,-0.86851346,0.13620365,-629.9338,-12.708186,2.0600622,0.8936499,-2.0090349,267.67444,-2.9038064,-1.2153127,-0.0684741,1.1928977,5.9066916,3.0219734,False
2006-01-01,8.836,8.6331215,8.59069,8.698352,8.679288,8.645156,-0.68160146,-0.4171865,-0.5124254,-0.5441403,-0.4202501,332.08643,-0.03217955,-0.36192423,0.19044198,-0.4956311,-66.58759,4.796203,0.17784357,1.5065972,-0.12083817,-461.05606,-3.8371677,1.0658166,-1.5502009,1.7823906,195.91412,-0.87678856,-0.6287677,0.11878099,-1.058324,5.937559,3.0202498,False
2007-01-01,8.83,9.107849,8.59256,9.031464,8.565321,8.796244,-0.43008694,-0.33899036,-0.048325334,-0.5657697,-0.48219603,586.44946,-0.015367024,-0.24629362,0.16020712,-1.7080283,-117.59063,2.2903793,0.12102461,1.2674075,-0.41642871,-814.2039,-1.8324012,0.72530055,-1.3040886,6.1424184,345.97537,-0.41870165,-0.42788368,0.099923134,-3.647163,5.8895288,3.0181127,False
2008-01-01,8.67,8.563948,8.6472645,8.737238,8.40653,8.506526,-0.5495998,-0.21540938,-0.2545891,-0.73481745,-0.6257181,268.8952,-0.024503613,-0.23932666,0.2271363,-1.4173515,-53.91694,3.6521428,0.117601156,1.7968881,-0.34555975,-373.32382,-2.9218702,0.70478386,-1.8488932,5.0970855,158.63452,-0.66764414,-0.41578007,0.14166768,-3.0264788,5.809099,3.0154502,False
2009-01-01,8.312,8.62517,8.5674715,8.337991,8.512214,8.518871,-0.15268798,-0.12511922,-0.13378699,-0.38226244,-0.7232359,12.257066,0.046335842,0.41906345,0.093057595,-2.1991796,-2.457699,-6.906129,-0.20592085,0.7361838,-0.53617465,-17.01724,5.5251985,-1.2340837,-0.75749034,7.908699,7.231046,1.2625017,0.72803515,0.058041155,-4.695921,5.742703,3.021981,False
2010-01-01,8.768,8.427791,8.4924555,8.59356,8.671585,8.675318,-0.12519169,-0.087412745,0.19897456,-0.2984393,-0.33699074,-155.1393,0.089885876,0.46517313,0.1794612,-1.347766,31.107418,-13.397047,-0.22857837,1.4197276,-0.32859433,215.38947,10.71821,-1.3698703,-1.4608171,4.8468413,-91.5243,2.4490993,0.80814105,0.111932136,-2.8778925,5.6995125,3.0202076,False
2011-01-01,8.726,8.794394,8.488895,8.365638,8.53863,8.608381,-0.102019995,-0.19637065,-0.092999294,-0.41840538,-0.3714908,209.75815,-0.009186424,0.30379042,0.20509869,-1.4229006,-42.0592,1.3691912,-0.14927758,1.6225471,-0.34691265,-291.22018,-1.0954114,-0.8946206,-1.6695068,5.1170406,123.74665,-0.25030032,0.52777237,0.12792255,-3.038328,5.652901,3.018072,False
2012-01-01,8.518,8.408153,8.76277,8.4419155,8.416312,8.543592,-0.5434223,-0.11782213,-0.429361,-0.06829878,-0.39787626,362.79755,-0.20498906,-0.44298112,-0.055236947,-1.7495625,-72.74556,30.552608,0.21767358,-0.43698257,-0.42655498,-503.6942,-24.443394,1.304518,0.44962966,6.2917833,214.03212,-5.5852885,-0.7695871,-0.034451958,-3.7358508,5.5462456,3.0154078,False
2013-01-01,8.41,8.138701,8.324657,7.9114265,8.842403,8.453123,0.042857613,-0.03832834,-0.17649028,0.06119056,-0.041564558,-340.0039,0.06316785,0.53415674,0.22939225,-0.15394393,68.17514,-9.414856,-0.2624758,1.8147349,-0.037532553,472.04834,7.5322876,-1.5730175,-1.8672566,0.5536137,-200.58502,1.7211194,0.9279857,0.14307475,-0.32871735,5.439297,3.0219705,False
2014-01-01,8.086,8.425254,8.198538,8.440063,8.353016,8.572102,0.0667218,0.006476024,0.42246646,-0.09134684,0.13928303,-29.761656,0.12755282,0.5335428,0.038604308,-0.19484845,5.9675937,-19.01112,-0.2621741,0.30540088,-0.04750535,41.319942,15.209709,-1.5712097,-0.3142397,0.70071477,-17.557865,3.4754016,0.92691916,0.024077976,-0.416061,5.3702097,3.020309,False
2015-01-01,8.168,8.200879,8.623927,8.629477,8.31266,8.116268,-0.0828942,-0.019029003,-0.032030348,-0.46369728,-0.22384,-46.07087,-0.19903018,-0.4695853,0.31766823,-0.031415064,9.237801,29.664467,0.23074645,2.5130913,-0.0076592024,63.963028,-23.732841,1.3828635,-2.5858247,0.11297499,-27.179472,-5.422928,-0.81580627,0.19813356,-0.06708077,5.315175,3.0181131,False
2016-01-01,8.449,8.449922,8.1770935,8.5182495,8.347427,8.501351,-0.031023353,-0.11797009,-0.116001375,0.049322262,-0.4291044,191.07866,-0.012522214,-0.5131534,0.016149236,-3.0165865,-38.313725,1.8663744,0.25215507,0.12775752,-0.7354639,-265.28632,-1.4931792,1.5111655,-0.13145505,10.848261,112.72671,-0.3411898,-0.8914967,0.010072475,-6.4413347,5.2601404,3.01544,False
2017-01-01,8.796,8.769577,8.452025,8.610132,8.345405,8.411555,-0.314356,-0.1355913,-0.256536,0.073436715,0.07294078,797.4378,-0.23185647,-0.9153582,0.032330133,-0.51471007,-159.8965,34.557064,0.44979185,0.2557655,-0.12548974,-1107.1321,-27.647127,2.6956027,-0.26316783,1.8510025,470.44778,-6.317338,-1.5902436,0.020164698,-1.0990634,5.204955,3.0219207,False
2018-01-01,8.779,8.914065,8.662735,8.559157,8.579599,8.279688,-0.15401831,-0.029660305,-0.32197177,0.04119781,0.0697614,835.44543,-0.3356414,-1.017166,0.2640065,-0.18309832,-167.51753,50.0257,0.49981856,2.0885704,-0.04464059,-1159.9005,-40.022694,2.9954128,-2.1490173,0.6584589,492.8704,-9.145142,-1.7671134,0.16466407,-0.3909709,5.1499205,3.0202572,False
2019-01-01,8.304,8.849087,8.523017,8.305521,8.475587,8.795079,0.18966246,0.20232004,0.25148806,0.039233856,0.10842262,508.45435,-0.13351952,0.08430299,0.2318665,-2.642664,-101.951614,19.900425,-0.041425098,1.834309,-0.6442991,-705.9185,-15.92119,-0.24826062,-1.8873972,9.503559,299.96222,-3.6379745,0.14645883,0.14461796,-5.6428957,5.094886,3.018071,False
2020-01-01,7.914,8.257016,8.287414,8.04022,8.547027,8.368334,0.60305464,0.3624889,0.722748,-0.31453413,-0.0027614406,-373.43768,0.08380722,1.055644,0.5780542,-1.4545807,74.87904,-12.491054,-0.518726,4.5730186,-0.35463646,518.46655,9.993377,-3.1087253,-4.7053704,5.2309685,-220.30925,2.2834754,1.8339609,0.36053944,-3.1059744,5.039851,3.0154674,False
2021-01-01,8.693,7.8622394,8.025257,7.5168414,8.461162,8.320793,0.6786852,0.29585797,0.7911478,-0.33053136,-0.3841737,-765.84344,0.17819846,1.8326843,0.5628512,-3.2166724,153.56143,-26.559603,-0.9005507,4.4527473,-0.7842461,1063.2677,21.248817,-5.397001,-4.581618,11.567809,-451.80872,4.855331,3.1839058,0.35105714,-6.8685784,4.984666,3.0219893,False
2022-01-01,8.203,8.37646,8.17988,7.294394,8.309153,8.183555,0.341471,0.09205338,0.17647992,-0.07208119,-0.4146018,79.1725,-0.088649884,1.1903272,0.30925596,-2.9861097,-15.875101,13.212829,-0.58490705,2.4465413,-0.7280334,-109.92006,-10.5708275,-3.5053484,-2.5173488,10.73866,46.707752,-2.4154224,2.0679448,0.19288671,-6.376257,4.9296308,3.020267,False
2023-01-01,,7.2205524,8.567435,6.669856,8.451095,8.03018,-0.25322723,0.21721157,-0.43554184,0.41222382,-0.077169254,-389.74805,-0.29408255,1.1263528,0.10482454,-0.9889061,78.149475,43.831554,-0.55347115,0.82927287,-0.24110189,541.11127,-35.06712,-3.316953,-0.8532735,3.556308,-229.93153,-8.012798,1.9568026,0.06538035,-2.1116168,4.8745956,3.0180707,True
2024-01-01,,,8.17658,6.147991,8.17459,8.141751,,0.22823817,0.31936258,0.599839,0.4964243,,-0.072883494,2.870456,-0.18655133,0.8734457,,10.8629265,-1.4104947,-1.475818,0.21295188,,-8.6908045,-8.4530945,1.518531,-3.1410887,,-1.9858394,4.986818,-0.11635435,1.8650737,4.8195615,3.015383,True
2025-01-01,,,,6.9031544,7.784964,7.6263003,,,0.82069814,0.038366634,0.64530116,,,2.4376824,-0.028453665,3.709423,,,-1.1978368,-0.22509854,0.904382,,,-7.1786366,0.2316133,-13.339842,,,4.234964,-0.017746897,7.920752,4.7643757,3.021907,True
2026-01-01,,,,,7.861518,7.029655,,,,-0.30973685,-0.1950929,,,,0.3166646,2.3254626,,,,2.5051515,0.5669633,,,,-2.5776553,-8.362838,,,,0.19750758,4.9655743,4.709341,3.020245,True
2027-01-01,,,,,,7.2920055,,,,,-0.16444698,,,,,0.9945752,,,,,0.2424841,,,,,-3.5766954,,,,,2.1237223,4.6543064,3.01806,True
