ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly,is_forecast
1990-01-01,20.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1991-01-01,19.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1992-01-01,19.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1993-01-01,20.102,20.461784,,,,,-1.4656495,,,,,-0.5173516,,,,,0.8743332,,,,,-0.13184862,,,,,-0.052707583,,,,,13.265381,8.489628,False
1994-01-01,20.197,20.351023,20.593536,,,,-1.4508191,-1.4107643,,,,-0.92300266,0.14525796,,,,1.5598905,1.5283521,,,,-0.23523001,-0.76505977,,,,-0.09403515,-0.39846957,,,,13.02365,8.470569,False
1995-01-01,20.23,20.518644,20.558546,20.656471,,,-1.1321712,-1.1192877,-1.2695765,,,-1.3039676,0.13145508,2.2488616,,,2.2037275,1.3831232,0.31584096,,,-0.33232006,-0.6923613,-1.2100569,,,-0.1328477,-0.3606057,-0.64482045,,,12.766191,8.450033,False
1996-01-01,20.679,20.561844,20.755886,20.860222,20.871382,,-0.8975639,-0.8974079,-0.7044241,-0.33547735,,-1.6585337,0.21262687,2.0846736,-0.24333589,,2.8029506,2.2371836,0.2927816,0.56665,,-0.42268232,-1.1198854,-1.1217115,-0.5348474,,-0.16897078,-0.583275,-0.5977425,0.5117477,,12.4788685,8.427776,False
1997-01-01,20.745,20.825003,20.77076,20.833294,20.97517,21.453485,-0.22648768,-0.6808096,-0.53051126,-0.1569536,0.47429046,-1.107353,0.21903259,2.1587415,-0.36449903,1.1316088,1.8714458,2.3045824,0.30318403,0.8487994,-1.1570872,-0.28221223,-1.1536237,-1.1615654,-0.8011615,3.0720208,-0.11281669,-0.60084707,-0.6189801,0.76655996,-2.7497735,12.192525,8.489901,False
1998-01-01,20.775,20.605244,21.078459,20.747652,20.919487,21.033941,-0.21655765,-0.27684492,-0.3323781,-0.13976726,0.36285165,-1.056921,0.25224093,1.934128,-0.47798288,0.76849765,1.7862147,2.6539886,0.27163824,1.1130663,-0.78580046,-0.2693595,-1.3285289,-1.0407065,-1.0505968,2.0862694,-0.1076787,-0.69194376,-0.5545762,1.0052223,-1.8674247,11.998715,8.470831,False
1999-01-01,20.806,20.837605,20.838585,20.930237,21.186764,20.94752,0.15620056,0.05234948,0.18229595,-0.09232195,0.275901,-1.2789984,0.15124479,1.5613072,-0.8299556,1.5881,2.1615293,1.5913434,0.2192775,1.9326959,-1.6238562,-0.3259566,-0.79659176,-0.8401008,-1.8242258,4.311274,-0.13030386,-0.41489255,-0.44767657,1.7454387,-3.8590322,11.804906,8.450227,False
