ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly,is_forecast
1990-01-01,13.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1991-01-01,12.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1992-01-01,11.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1993-01-01,11.774,12.004862,,,,,2.3711727,,,,,0.13530838,,,,,0.14290328,,,,,-0.21333462,,,,,0.12692195,,,,,5.3053794,4.1365104,False
1994-01-01,11.535,11.582248,11.569238,,,,1.861406,1.454112,,,,0.11642865,0.19828779,,,,0.12296383,-1.1403346,,,,-0.18356779,-0.014624444,,,,0.10921239,1.5159919,,,,5.4373503,4.1184545,False
1995-01-01,11.46,11.275251,11.383368,11.80474,,,1.5978569,1.2611903,2.1827838,,,0.024211012,0.1698486,-0.00851194,,,0.025569985,-0.97678363,0.028900575,,,-0.038172413,-0.012526953,4.9491722e-05,,,0.022710413,1.2985629,-0.041558318,,,5.543415,4.099661,False
1996-01-01,11.666,11.14341,11.333001,11.4745,11.818794,,1.354157,1.1961553,1.8604066,1.5844626,,0.076904416,0.1618734,-0.02665917,0.123551436,,0.08122108,-0.93091893,0.090515845,-0.16833341,,-0.12125172,-0.011938752,0.00015500677,-0.04337386,,0.07213788,1.2375891,-0.13015956,0.6422454,,5.600298,4.079943,False
1997-01-01,11.306,11.38161,11.226195,11.377026,11.517038,11.437356,1.2331249,1.1666244,1.615731,1.3110033,0.09357521,0.24976872,0.09399345,-0.013358045,0.091778085,1.0047575,0.2637883,-0.5405476,0.045354553,-0.12504362,0.39223427,-0.39379907,-0.0069323587,7.766887e-05,-0.032219533,-1.329321,0.23428804,0.71861875,-0.06521874,0.4770811,1.481671,5.65783,4.1366086,False
1998-01-01,11.261,11.53445,11.540248,11.2097845,11.131361,11.030991,1.3526337,1.5548671,1.4882822,1.0930501,0.0035149048,0.22739872,0.04463399,-0.055607874,0.03987601,0.75745314,0.24016269,-0.25668594,0.18880533,-0.054329313,0.2956923,-0.3585293,-0.0032919191,0.00032332577,-0.013998838,-1.0021306,0.21330452,0.3412453,-0.27149746,0.20728359,1.1169822,5.7408514,4.118628,False
1999-01-01,10.963,10.973186,11.459458,11.485819,10.900341,10.844259,1.0386817,1.0716957,1.673277,0.95746434,0.05394978,0.0076093893,0.16451138,-0.044806454,0.0042722807,0.5619902,0.008036506,-0.9460897,0.15213129,-0.005820795,0.21938805,-0.01199738,-0.012133313,0.00026052215,-0.0014998232,-0.74352795,0.0071377587,1.2577574,-0.21876109,0.022208182,0.8287417,5.8238726,4.099845,False
2000-01-01,10.99,11.047031,11.154152,11.646619,10.803366,10.597289,0.96053314,0.7954951,1.2937567,0.9201894,0.023149291,0.07048949,0.13190733,0.1476207,-0.023056945,0.3810365,0.07444608,-0.7585868,-0.5012163,0.031414077,0.14874789,-0.11113759,-0.009728644,-0.00085832406,0.008094352,-0.50412136,0.06612054,1.008486,0.7207368,-0.11985468,0.5618974,5.9064503,4.080129,False
2001-01-01,11.171,10.847793,10.972983,11.252691,11.051419,10.870951,0.71420926,0.5958984,1.1185594,0.84175044,0.011798717,0.005550445,0.089114435,0.0033920687,0.01872003,0.47563827,0.0058619934,-0.51248884,-0.011517086,-0.025505219,0.18567824,-0.008751136,-0.006572514,-1.9722806e-05,-0.0065718372,-0.62928206,0.0052064285,0.6813166,0.016561287,0.09731051,0.7014024,5.9890547,4.1366606,False
2002-01-01,10.952,11.013373,10.776743,11.015612,10.899654,11.125772,0.6807724,0.5764471,0.8544843,0.7574338,0.15364413,0.109425105,0.00808441,-0.006594942,-0.007864737,0.51532674,0.11556717,-0.046492692,0.022391798,0.01071536,0.20117173,-0.17252561,-0.00059625466,3.8345555e-05,0.002760988,-0.681791,0.10264292,0.06180865,-0.032198858,-0.0408825,0.7599293,6.0589385,4.1185527,False
2003-01-01,10.894,11.17297,10.719734,10.6916065,10.872629,10.965277,0.71352124,0.8244793,0.7991207,0.61531025,-0.020383049,0.17828518,-0.11042264,-0.12664817,0.011280384,0.5051405,0.18829237,0.6350303,0.43000835,-0.01536903,0.19719522,-0.2810942,0.008144071,0.0007363816,-0.003960082,-0.6683143,0.16723505,-0.8442267,-0.61834145,0.05863773,0.744908,6.10698,4.0997505,False
2004-01-01,10.678,10.588226,10.594103,10.675098,10.601064,10.866183,0.5334629,0.5119449,0.88634145,0.5324438,0.07099746,-0.12615974,-0.053686373,-0.17927983,-0.036785938,0.36419603,-0.13324113,0.30874535,0.6087085,0.05011923,0.14217375,0.19891036,0.0039595654,0.0010424025,0.012914039,-0.48184106,-0.11834035,-0.4104545,-0.875308,-0.19122078,0.53706354,6.1534348,4.080159,False
